TIME,ALB,ARG,AUS,AUT,BEL,BGR,BRA,CAN,CHE,CHL,CHN,CMR,COL,CRI,CYP,CZE,DEU,DEW,DNK,EA19,ESP,EST,EU27_2020,FIN,FRA,GBR,GEO,GRC,HKG,HRV,HUN,IDN,IND,IRL,ISL,ISR,ITA,JPN,KOR,LTU,LUX,LVA,MAR,MDG,MEX,MKD,MLT,NLD,NOR,NZL,OECD,OECDE,POL,PRT,ROU,RUS,SAU,SEN,SGP,SRB,SVK,SVN,SWE,TUR,USA,ZAF,ZMB
1960-12-31,,,25071833000.0,,,,,,,,,,,,,,,,,,,,,,84286645000.0,114500834000.0,,6847866000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18451390000.0,,,,
1961-01-31,,,25096134833.333332,,,,,,,,,,,,,,,,,,,,,,84699096583.33333,114852608083.33333,,7115514750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18554513833.333332,,,,
1961-02-28,,,25120436666.666668,,,,,,,,,,,,,,,,,,,,,,85111548166.66667,115204382166.66667,,7383163500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18657637666.666668,,,,
1961-03-31,,,25144738500.0,,,,,,,,,,,,,,,,,,,,,,85523999750.0,115556156250.0,,7650812250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18760761500.0,,,,
1961-04-30,,,25169040333.333332,,,,,,,,,,,,,,,,,,,,,,85936451333.33333,115907930333.33333,,7918461000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18863885333.333332,,,,
1961-05-31,,,25193342166.666668,,,,,,,,,,,,,,,,,,,,,,86348902916.66667,116259704416.66667,,8186109750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18967009166.666668,,,,
1961-06-30,,,25217644000.0,,,,,,,,,,,,,,,,,,,,,,86761354500.0,116611478500.0,,8453758500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19070133000.0,,,,
1961-07-31,,,25241945833.333332,,,,,,,,,,,,,,,,,,,,,,87173806083.33333,116963252583.33333,,8721407250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19173256833.333332,,,,
1961-08-31,,,25266247666.666668,,,,,,,,,,,,,,,,,,,,,,87586257666.66667,117315026666.66667,,8989056000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19276380666.666668,,,,
1961-09-30,,,25290549500.0,,,,,,,,,,,,,,,,,,,,,,87998709250.0,117666800750.0,,9256704750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19379504500.0,,,,
1961-10-31,,,25314851333.333332,,,,,,,,,,,,,,,,,,,,,,88411160833.33333,118018574833.33333,,9524353500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19482628333.333332,,,,
1961-11-30,,,25339153166.666668,,,,,,,,,,,,,,,,,,,,,,88823612416.66667,118370348916.66667,,9792002250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19585752166.666668,,,,
1961-12-31,,,25363455000.0,,,,,44299933000.0,,,,,,,,,,,,,,,,,89236064000.0,118722123000.0,,10059651000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19688876000.0,,,,
1962-01-31,,,25579325750.0,,,,,44656144750.0,,,,,,,,,,,,,,,,,89944280500.0,119025947666.66667,,10081978583.333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19797954250.0,,,,
1962-02-28,,,25795196500.0,,,,,45012356500.0,,,,,,,,,,,,,,,,,90652497000.0,119329772333.33333,,10104306166.666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19907032500.0,,,,
1962-03-31,,,26011067250.0,,,,,45368568250.0,,,,,,,,,,,,,,,,,91360713500.0,119633597000.0,,10126633750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20016110750.0,,,,
1962-04-30,,,26226938000.0,,,,,45724780000.0,,,,,,,,,,,,,,,,,92068930000.0,119937421666.66667,,10148961333.333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20125189000.0,,,,
1962-05-31,,,26442808750.0,,,,,46080991750.0,,,,,,,,,,,,,,,,,92777146500.0,120241246333.33333,,10171288916.666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20234267250.0,,,,
1962-06-30,,,26658679500.0,,,,,46437203500.0,,,,,,,,,,,,,,,,,93485363000.0,120545071000.0,,10193616500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20343345500.0,,,,
1962-07-31,,,26874550250.0,,,,,46793415250.0,,,,,,,,,,,,,,,,,94193579500.0,120848895666.66667,,10215944083.333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20452423750.0,,,,
1962-08-31,,,27090421000.0,,,,,47149627000.0,,,,,,,,,,,,,,,,,94901796000.0,121152720333.33333,,10238271666.666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20561502000.0,,,,
1962-09-30,,,27306291750.0,,,,,47505838750.0,,,,,,,,,,,,,,,,,95610012500.0,121456545000.0,,10260599250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20670580250.0,,,,
1962-10-31,,,27522162500.0,,,,,47862050500.0,,,,,,,,,,,,,,,,,96318229000.0,121760369666.66667,,10282926833.333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20779658500.0,,,,
1962-11-30,,,27738033250.0,,,,,48218262250.0,,,,,,,,,,,,,,,,,97026445500.0,122064194333.33333,,10305254416.666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20888736750.0,,,,
1962-12-31,,,27953904000.0,,,,,48574474000.0,,,,,,,,,,,,,,,,,97734662000.0,122368019000.0,,10327582000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20997815000.0,,,,
1963-01-31,,,28160374250.0,,,,,48852152166.666664,,,,,,,,,,,,,,,,,98295826583.33333,122980902083.33333,,10443621833.333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21118016583.333332,,,,
1963-02-28,,,28366844500.0,,,,,49129830333.333336,,,,,,,,,,,,,,,,,98856991166.66667,123593785166.66667,,10559661666.666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21238218166.666668,,,,
1963-03-31,,,28573314750.0,,,,,49407508500.0,,,,,,,,,,,,,,,,,99418155750.0,124206668250.0,,10675701500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21358419750.0,,,,
1963-04-30,,,28779785000.0,,,,,49685186666.666664,,,,,,,,,,,,,,,,,99979320333.33333,124819551333.33333,,10791741333.333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21478621333.333332,,,,
1963-05-31,,,28986255250.0,,,,,49962864833.333336,,,,,,,,,,,,,,,,,100540484916.66667,125432434416.66667,,10907781166.666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21598822916.666668,,,,
1963-06-30,,,29192725500.0,,,,,50240543000.0,,,,,,,,,,,,,,,,,101101649500.0,126045317500.0,,11023821000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21719024500.0,,,,
1963-07-31,,,29399195750.0,,,,,50518221166.666664,,,,,,,,,,,,,,,,,101662814083.33333,126658200583.33333,,11139860833.333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21839226083.333332,,,,
1963-08-31,,,29605666000.0,,,,,50795899333.333336,,,,,,,,,,,,,,,,,102223978666.66667,127271083666.66667,,11255900666.666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21959427666.666668,,,,
1963-09-30,,,29812136250.0,,,,,51073577500.0,,,,,,,,,,,,,,,,,102785143250.0,127883966750.0,,11371940500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22079629250.0,,,,
1963-10-31,,,30018606500.0,,,,,51351255666.666664,,,,,,,,,,,,,,,,,103346307833.33333,128496849833.33333,,11487980333.333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22199830833.333332,,,,
1963-11-30,,,30225076750.0,,,,,51628933833.333336,,,,,,,,,,,,,,,,,103907472416.66667,129109732916.66667,,11604020166.666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22320032416.666668,,,,
1963-12-31,,,30431547000.0,,,,,51906612000.0,,,,,,,,,,,,,,,,,104468637000.0,129722616000.0,,11720060000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22440234000.0,,,,
1964-01-31,,,30624123583.333332,,,,,52279535833.333336,,,,,,,,,,,,,,,,,105200372250.0,130446190500.0,,11831125083.333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22603648000.0,,,,
1964-02-29,,,30816700166.666668,,,,,52652459666.666664,,,,,,,,,,,,,,,,,105932107500.0,131169765000.0,,11942190166.666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22767062000.0,,,,
1964-03-31,,,31009276750.0,,,,,53025383500.0,,,,,,,,,,,,,,,,,106663842750.0,131893339500.0,,12053255250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22930476000.0,,,,
