Time,ARG,AUS,AUT,BEL,BGR,BRA,CAN,CHE,CHL,CHN,COL,CRI,CYP,CZE,DEU,DNK,ESP,EST,FIN,FRA,GBR,GRC,HRV,HUN,IDN,IND,IRL,ISL,ISR,ITA,JPN,KOR,LTU,LUX,LVA,MEX,MLT,NLD,NOR,NZL,POL,PRT,ROU,RUS,SAU,SGP,SVK,SVN,SWE,TUR,USA,ZAF
2010-12-31,40788453,22031750,8361069,10895591,7395598,194890682,34004889,7824910,17063927,1348191369,44086292,4533894,829444,10517247,81776936,5543819,46562483,1331475,5363341,64773169,62759456,11121344,4295427,10000020,241834226,1240613620,4554763,318044,7623561,59819402,128057352,49554112,3097282,506953,2097553,113748671,414509,16615390,4889253,4350700,38516689,10573100,20246798,142389969,27410508,3771721,5431024,2049261,9378131,73142162,309327143,51095503
2011-01-31,40827872,22057439,8363357,10903759,7391658,195033436,34032758,7832200,17079779,1348933378,44125219,4538748,831230,10515532,81651773,5545738,46576964,1331138,5365418,64799348,62803263,11119973,4294193,9996587,242107706,1242030917,4556440,318124,7635416,59836688,128038758,49585989,3091518,507902,2094399,113883569,414655,16621863,4894572,4353475,38517437,10573219,20238536,142437547,27474065,3773181,5428304,2049530,9384054,73232285,309515171,51161619
2011-02-28,40867292,22083129,8365646,10911927,7387719,195176190,34060628,7839491,17095632,1349675387,44164146,4543603,833017,10513817,81526610,5547658,46591445,1330802,5367496,64825527,62847070,11118603,4292959,9993154,242381186,1243448215,4558117,318205,7647272,59853975,128020165,49617866,3085754,508852,2091245,114018467,414801,16628337,4899892,4356250,38518185,10573339,20230274,142485126,27537622,3774642,5425584,2049800,9389978,73322408,309703199,51227735
2011-03-31,40906712,22108818,8367935,10920095,7383780,195318944,34088498,7846781,17111485,1350417396,44203073,4548457,834803,10512103,81401447,5549578,46605926,1330466,5369573,64851706,62890878,11117233,4291725,9989721,242654666,1244865512,4559794,318285,7659128,59871262,128001572,49649743,3079990,509802,2088092,114153366,414947,16634811,4905212,4359025,38518934,10573458,20222012,142532704,27601179,3776103,5422864,2050069,9395902,73412532,309891227,51293851
2011-04-30,40946132,22134508,8370224,10928263,7379841,195461698,34116368,7854072,17127337,1351159405,44242000,4553312,836590,10510388,81276284,5551498,46620407,1330129,5371651,64877885,62934685,11115862,4290492,9986288,242928146,1246282810,4561471,318366,7670984,59888549,127982979,49681620,3074226,510752,2084938,114288264,415094,16641284,4910531,4361800,38519682,10573578,20213751,142580283,27664737,3777564,5420144,2050339,9401826,73502655,310079255,51359967
2011-05-31,40985551,22160197,8372512,10936431,7375901,195604452,34144238,7861362,17143190,1351901414,44280927,4558166,838376,10508674,81151121,5553417,46634888,1329793,5373728,64904064,62978493,11114492,4289258,9982855,243201626,1247700107,4563148,318446,7682840,59905836,127964385,49713497,3068462,511702,2081785,114423163,415240,16647758,4915851,4364575,38520431,10573697,20205489,142627861,27728294,3779025,5417424,2050608,9407749,73592778,310267283,51426083
2011-06-30,41024971,22185887,8374801,10944600,7371962,195747207,34172108,7868653,17159043,1352643423,44319854,4563021,840163,10506959,81025958,5555337,46649370,1329457,5375806,64930243,63022300,11113122,4288024,9979422,243475107,1249117405,4564825,318527,7694696,59923123,127945792,49745375,3062698,512652,2078631,114558061,415386,16654232,4921171,4367350,38521179,10573817,20197227,142675440,27791851,3780486,5414704,2050878,9413673,73682902,310455312,51492200
2011-07-31,41064391,22211576,8377090,10952768,7368023,195889961,34199978,7875943,17174895,1353385432,44358781,4567876,841949,10505244,80900795,5557257,46663851,1329120,5377884,64956422,63066107,11111751,4286790,9975989,243748587,1250534702,4566502,318608,7706552,59940409,127927199,49777252,3056934,513601,2075477,114692959,415532,16660705,4926490,4370125,38521927,10573937,20188965,142723018,27855408,3781946,5411984,2051148,9419597,73773025,310643340,51558316
2011-08-31,41103811,22237266,8379379,10960936,7364084,196032715,34227848,7883234,17190748,1354127441,44397708,4572730,843736,10503530,80775632,5559177,46678332,1328784,5379961,64982601,63109915,11110381,4285557,9972556,244022067,1251952000,4568179,318688,7718408,59957696,127908606,49809129,3051170,514551,2072324,114827858,415679,16667179,4931810,4372900,38522676,10574056,20180704,142770597,27918966,3783407,5409264,2051417,9425521,73863148,310831368,51624432
2011-09-30,41143230,22262955,8381667,10969104,7360144,196175469,34255718,7890524,17206601,1354869450,44436635,4577585,845522,10501815,80650469,5561096,46692813,1328448,5382039,65008780,63153722,11109011,4284323,9969123,244295547,1253369297,4569856,318769,7730264,59974983,127890012,49841006,3045406,515501,2069170,114962756,415825,16673653,4937130,4375675,38523424,10574176,20172442,142818175,27982523,3784868,5406544,2051687,9431444,73953272,311019396,51690548
2011-10-31,41182650,22288645,8383956,10977272,7356205,196318223,34283588,7897815,17222453,1355611459,44475562,4582439,847309,10500101,80525306,5563016,46707294,1328111,5384116,65034959,63197530,11107640,4283089,9965690,244569027,1254786595,4571533,318849,7742120,59992270,127871419,49872883,3039642,516451,2066017,115097655,415971,16680126,4942449,4378450,38524173,10574295,20164180,142865754,28046080,3786329,5403824,2051956,9437368,74043395,311207424,51756664
2011-11-30,41222070,22314334,8386245,10985440,7352266,196460977,34311458,7905105,17238306,1356353468,44514489,4587294,849095,10498386,80400143,5564936,46721775,1327775,5386194,65061138,63241337,11106270,4281855,9962257,244842507,1256203892,4573210,318930,7753976,60009557,127852826,49904760,3033878,517401,2062863,115232553,416117,16686600,4947769,4381225,38524921,10574415,20155918,142913332,28109637,3787790,5401104,2052226,9443292,74133518,311395452,51822780
2011-12-31,41261490,22340024,8388534,10993609,7348327,196603732,34339328,7912396,17254159,1357095477,44553416,4592149,850882,10496672,80274981,5566856,46736257,1327439,5388272,65087317,63285145,11104900,4280622,9958824,245115988,1257621190,4574888,319011,7765832,60026844,127834233,49936638,3028115,518351,2059710,115367452,416264,16693074,4953089,4384000,38525670,10574535,20147657,142960911,28173195,3789251,5398384,2052496,9449216,74223642,311583481,51888897
2012-01-31,41300805,22372810,8391682,10999787,7344790,196746332,34370569,7919434,17269936,1357884255,44590762,4597174,851970,10497723,80287551,5568541,46738769,1327043,5390413,65113623,63320135,11099909,4279533,9955619,245393965,1259026692,4576455,319153,7777889,60040543,127814101,49958572,3024753,519401,2057594,115498136,416578,16698231,4958546,4386008,38526346,10570942,20140367,142980978,28233498,3791663,5399150,2052809,9455062,74302991,311774662,51956426
2012-02-29,41340120,22405597,8394830,11005965,7341253,196888932,34401810,7926473,17285714,1358673033,44628108,4602200,853059,10498774,80300121,5570227,46741281,1326648,5392554,65139930,63355125,11094918,4278444,9952414,245671942,1260432194,4578022,319296,7789947,60054243,127793970,49980507,3021391,520451,2055479,115628821,416892,16703388,4964003,4388016,38527023,10567349,20133077,143001046,28293802,3794076,5399916,2053123,9460909,74382341,311965844,52023956
2012-03-31,41379435,22438384,8397978,11012143,7337717,197031532,34433051,7933512,17301492,1359461812,44665454,4607226,854147,10499825,80312692,5571913,46743793,1326253,5394695,65166237,63390116,11089927,4277356,9949209,245949919,1261837696,4579590,319439,7802005,60067943,127773839,50002441,3018029,521501,2053363,115759506,417206,16708546,4969460,4390025,38527699,10563756,20125788,143021113,28354106,3796489,5400682,2053437,9466756,74461690,312157026,52091486
2012-04-30,41418750,22471171,8401126,11018322,7334180,197174132,34464292,7940551,17317269,1360250590,44702801,4612252,855236,10500876,80325262,5573599,46746305,1325858,5396837,65192544,63425106,11084936,4276267,9946004,246227896,1263243199,4581157,319581,7814063,60081643,127753707,50024376,3014667,522551,2051248,115890191,417520,16713703,4974917,4392033,38528376,10560163,20118498,143041181,28414410,3798902,5401449,2053751,9472603,74541040,312348208,52159015
2012-05-31,41458065,22503957,8404274,11024500,7330644,197316732,34495533,7947589,17333047,1361039369,44740147,4617277,856324,10501927,80337833,5575284,46748817,1325462,5398978,65218850,63460097,11079945,4275178,9942799,246505873,1264648701,4582725,319724,7826120,60095343,127733576,50046310,3011305,523601,2049132,116020876,417834,16718861,4980374,4394041,38529052,10556570,20111209,143061248,28474713,3801315,5402215,2054065,9478450,74620389,312539389,52226545
2012-06-30,41497380,22536744,8407422,11030678,7327107,197459333,34526775,7954628,17348825,1361828147,44777493,4622303,857413,10502979,80350403,5576970,46751330,1325067,5401119,65245157,63495087,11074955,4274090,9939594,246783851,1266054203,4584292,319867,7838178,60109043,127713445,50068245,3007944,524651,2047017,116151561,418148,16724018,4985831,4396050,38529729,10552977,20103919,143081316,28535017,3803728,5402981,2054379,9484297,74699739,312730571,52294075
2012-07-31,41536695,22569531,8410570,11036856,7323570,197601933,34558016,7961667,17364602,1362616925,44814839,4627329,858502,10504030,80362973,5578656,46753842,1324672,5403260,65271464,63530077,11069964,4273001,9936389,247061828,1267459705,4585859,320009,7850236,60122743,127693313,50090180,3004582,525701,2044901,116282245,418462,16729175,4991288,4398058,38530406,10549384,20096629,143101383,28595321,3806140,5403747,2054692,9490144,74779088,312921753,52361604
2012-08-31,41576010,22602318,8413718,11043035,7320034,197744533,34589257,7968706,17380380,1363405704,44852186,4632355,859590,10505081,80375544,5580342,46756354,1324277,5405402,65297771,63565068,11064973,4271912,9933184,247339805,1268865208,4587427,320152,7862294,60136443,127673182,50112114,3001220,526751,2042786,116412930,418776,16734333,4996745,4400066,38531082,10545791,20089340,143121451,28655625,3808553,5404514,2055006,9495991,74858438,313112935,52429134
2012-09-30,41615325,22635104,8416866,11049213,7316497,197887133,34620498,7975744,17396158,1364194482,44889532,4637380,860679,10506132,80388114,5582027,46758866,1323881,5407543,65324077,63600058,11059982,4270824,9929979,247617782,1270270710,4588994,320295,7874351,60150143,127653051,50134049,2997858,527801,2040670,116543615,419090,16739490,5002202,4402075,38531759,10542198,20082050,143141518,28715928,3810966,5405280,2055320,9501838,74937787,313304116,52496664
2012-10-31,41654640,22667891,8420014,11055391,7312961,198029733,34651739,7982783,17411935,1364983261,44926878,4642406,861767,10507183,80400685,5583713,46761378,1323486,5409684,65350384,63635049,11054991,4269735,9926774,247895759,1271676212,4590562,320437,7886409,60163843,127632919,50155983,2994496,528851,2038555,116674300,419404,16744648,5007659,4404083,38532435,10538605,20074761,143161586,28776232,3813379,5406046,2055634,9507685,75017137,313495298,52564193
