,BHS,BIH,BLR,BLZ,TWN,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GTM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PNG,POL,PRI,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,STP,SUR,SVK,SVN,SWE,SWZ,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE,AFG,AGO,ALB,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,ABW
2010-12-31,343000,3760000,9595000,312000,23019000,9930000,194946000,273000,399000,726000,2007000,4401000,34017000,7664000,17114000,1341335000,19738000,19599000,65965999,4043000,46295000,735000,496000,4659000,11258000,1104000,10493000,82302000,889000,5550000,9927000,35468000,14465000,81121000,5254000,46077000,1341000,82950000,5365000,861000,64935000,1505000,62036000,4352000,24392000,9982000,1728000,1515000,700000,11359000,14389000,754000,7053000,7601000,4403000,9993000,9984000,239871000,1224614000,4470000,73974000,31672000,320000,7418000,60551000,2741000,6187000,126536000,16026000,40513000,5334000,14138000,48184000,2737000,6201000,4228000,3994000,6355000,174000,20860000,2171000,3324000,507000,2252000,544000,31951000,3573000,20714000,316000,113423000,2061000,15370000,417000,47963000,631000,2756000,23391000,3460000,1299000,14901000,28401000,2283000,251000,15512000,158423000,5788000,16613000,4883000,29959000,4368000,2782000,173593000,3517000,29077000,93261000,6858000,38277000,3749000,10676000,6455000,4038999,271000,1759000,21486000,142958000,10624000,27448000,43552000,12434000,5086000,538000,5868000,6193000,9331000,9856000,165000,525000,5462000,2029999,9380000,1186000,20411000,11227000,6028000,69122000,6879000,5042000,1124000,104000,1341000,10481000,72752000,44841000,33424999,45448000,3369000,310384000,27445000,109000,28980000,87848000,240000,183000,24053000,50133000,13089000,12571000,31412000,19082000,3204000,7512000,40412000,3092000,22268000,8394000,9188000,8382999,10712000,8850000,16469000,148692000,7494000,1262000,107000
2011-01-31,343383,3759750,9592266,312466,23026516,9941950,195082733,273050,399566,727183,2009050,4407950,34047683,7667933,17126600,1341703083,19766750,19633333,66123449,4051633,46345616,736450,496333,4664700,11256866,1105216,10497450,82299033,890316,5552150,9936916,35511083,14481166,81237050,5267950,46105916,1340900,83110766,5367133,861600,64968916,1507150,62071700,4350433,24439600,9997250,1731850,1517500,701650,11360500,14415650,754150,7058133,7612316,4402500,10002416,9981816,240063083,1226002650,4474950,74046833,31747466,320416,7433016,60566483,2741816,6201683,126528816,16040000,40597216,5338600,14150583,48196033,2744366,6208266,4230650,4008383,6364700,174150,20874583,2172700,3322850,507766,2250866,544733,31974399,3569700,20764233,316383,113532166,2061533,15410066,417133,47983516,631166,2759383,23434333,3466833,1299566,14941133,28439216,2286116,251333,15560983,158763233,5793233,16618400,4887483,30006483,4372050,2787100,173866700,3521316,29098466,93395400,6869833,38278966,3748233,10678150,6463850,4046349,271250,1768116,21480183,142953216,10649716,27508500,43646233,12460816,5093283,539083,5880000,6194850,9346966,9854733,165183,525400,5463283,2030582,9386600,1187283,20441950,11253400,6038400,69155200,6884983,5046783,1126016,104033,1341333,10489616,72823500,44949516,33519899,45425916,3369550,310591516,27468700,109016,29016400,87923450,240450,183033,24117050,50172333,13120233,12574316,31484366,19130850,3204600,7549183,40439216,3091766,22299200,8396700,9196616,8403982,10716883,8871583,16509916,148836233,7490216,1268200,107183
2011-02-28,343766,3759500,9589533,312933,23034033,9953900,195219466,273100,400133,728366,2011100,4414900,34078366,7671866,17139200,1342071166,19795500,19667666,66280899,4060266,46396233,737900,496666,4670400,11255733,1106433,10501900,82296066,891633,5554300,9946833,35554166,14497333,81353100,5281900,46134833,1340800,83271533,5369266,862200,65002833,1509300,62107400,4348866,24487200,10012500,1735700,1520000,703300,11362000,14442300,754300,7063266,7623633,4402000,10011833,9979633,240255166,1227391300,4479900,74119666,31822933,320833,7448033,60581966,2742633,6216366,126521633,16054000,40681433,5343200,14163166,48208066,2751733,6215533,4233300,4022766,6374400,174300,20889166,2174400,3321700,508533,2249733,545466,31997799,3566400,20814466,316766,113641333,2062066,15450133,417266,48004033,631333,2762766,23477666,3473666,1300133,14981266,28477433,2289233,251666,15609966,159103466,5798466,16623800,4891966,30053966,4376100,2792200,174140400,3525633,29119933,93529800,6881666,38280933,3747466,10680300,6472700,4053699,271500,1777233,21474366,142948433,10675433,27569000,43740466,12487633,5100566,540166,5892000,6196700,9362933,9853466,165366,525800,5464566,2031165,9393200,1188566,20472900,11279800,6048800,69188400,6890966,5051566,1128033,104066,1341666,10498233,72895000,45058033,33614799,45403833,3370100,310799033,27492400,109033,29052800,87998900,240900,183066,24181100,50211666,13151466,12577633,31556733,19179700,3205200,7586366,40466433,3091533,22330400,8399400,9205233,8424965,10721766,8893166,16550833,148980466,7486433,1274400,107366
2011-03-31,344150,3759250,9586800,313400,23041550,9965850,195356200,273150,400700,729550,2013150,4421850,34109050,7675800,17151800,1342439250,19824250,19702000,66438349,4068900,46446850,739350,497000,4676100,11254600,1107650,10506350,82293100,892950,5556450,9956750,35597250,14513500,81469150,5295850,46163750,1340700,83432300,5371400,862800,65036750,1511450,62143100,4347300,24534800,10027750,1739550,1522500,704950,11363500,14468950,754450,7068400,7634949,4401500,10021250,9977450,240447250,1228779950,4484850,74192500,31898400,321250,7463050,60597450,2743450,6231050,126514450,16068000,40765650,5347800,14175750,48220100,2759100,6222800,4235950,4037150,6384100,174450,20903750,2176100,3320550,509300,2248600,546200,32021199,3563100,20864700,317150,113750500,2062600,15490200,417400,48024550,631500,2766150,23521000,3480500,1300700,15021400,28515650,2292350,252000,15658950,159443700,5803700,16629200,4896450,30101450,4380150,2797300,174414100,3529950,29141400,93664200,6893500,38282900,3746700,10682450,6481550,4061049,271750,1786350,21468550,142943650,10701150,27629500,43834700,12514450,5107850,541250,5904000,6198550,9378900,9852200,165550,526200,5465850,2031749,9399800,1189850,20503850,11306200,6059200,69221600,6896950,5056350,1130050,104100,1342000,10506850,72966500,45166550,33709699,45381750,3370650,311006550,27516100,109050,29089200,88074350,241350,183100,24245150,50251000,13182700,12580950,31629100,19228550,3205800,7623550,40493650,3091300,22361600,8402100,9213850,8445949,10726650,8914750,16591750,149124700,7482650,1280600,107550
2011-04-30,344533,3759000,9584066,313866,23049066,9977800,195492933,273200,401266,730733,2015200,4428800,34139733,7679733,17164400,1342807333,19853000,19736333,66595799,4077533,46497466,740800,497333,4681800,11253466,1108866,10510800,82290133,894266,5558600,9966666,35640333,14529666,81585200,5309800,46192666,1340600,83593066,5373533,863400,65070666,1513600,62178800,4345733,24582400,10043000,1743400,1525000,706600,11365000,14495600,754600,7073533,7646266,4401000,10030666,9975266,240639333,1230168600,4489800,74265333,31973866,321666,7478066,60612933,2744266,6245733,126507266,16082000,40849866,5352400,14188333,48232133,2766466,6230066,4238600,4051533,6393800,174600,20918333,2177800,3319400,510066,2247466,546933,32044599,3559800,20914933,317533,113859666,2063133,15530266,417533,48045066,631666,2769533,23564333,3487333,1301266,15061533,28553866,2295466,252333,15707933,159783933,5808933,16634600,4900933,30148933,4384200,2802400,174687800,3534266,29162866,93798600,6905333,38284866,3745933,10684600,6490400,4068399,272000,1795466,21462733,142938866,10726866,27690000,43928933,12541266,5115133,542333,5916000,6200400,9394866,9850933,165733,526600,5467133,2032332,9406400,1191133,20534800,11332600,6069600,69254800,6902933,5061133,1132066,104133,1342333,10515466,73038000,45275066,33804599,45359666,3371200,311214066,27539800,109066,29125600,88149800,241800,183133,24309200,50290333,13213933,12584266,31701466,19277400,3206400,7660733,40520866,3091066,22392800,8404800,9222466,8466932,10731533,8936333,16632666,149268933,7478866,1286800,107733
2011-05-31,344916,3758750,9581333,314333,23056583,9989750,195629666,273250,401833,731916,2017250,4435750,34170416,7683666,17177000,1343175416,19881750,19770666,66753249,4086166,46548083,742250,497666,4687500,11252333,1110083,10515250,82287166,895583,5560750,9976583,35683416,14545833,81701250,5323750,46221583,1340500,83753833,5375666,864000,65104583,1515750,62214500,4344166,24630000,10058250,1747250,1527500,708250,11366500,14522250,754750,7078666,7657583,4400500,10040083,9973083,240831416,1231557250,4494750,74338166,32049333,322083,7493083,60628416,2745083,6260416,126500083,16096000,40934083,5357000,14200916,48244166,2773833,6237333,4241250,4065916,6403500,174750,20932916,2179500,3318250,510833,2246333,547666,32067999,3556500,20965166,317916,113968833,2063666,15570333,417666,48065583,631833,2772916,23607666,3494166,1301833,15101666,28592083,2298583,252666,15756916,160124166,5814166,16640000,4905416,30196416,4388250,2807500,174961500,3538583,29184333,93933000,6917166,38286833,3745166,10686750,6499250,4075749,272250,1804583,21456916,142934083,10752583,27750500,44023166,12568083,5122416,543416,5928000,6202250,9410833,9849666,165916,527000,5468416,2032915,9413000,1192416,20565750,11359000,6080000,69288000,6908916,5065916,1134083,104166,1342666,10524083,73109500,45383583,33899499,45337583,3371750,311421583,27563500,109083,29162000,88225250,242250,183166,24373250,50329666,13245166,12587583,31773833,19326250,3207000,7697916,40548083,3090833,22424000,8407500,9231083,8487915,10736416,8957916,16673583,149413166,7475083,1293000,107916
2011-06-30,345300,3758500,9578600,314800,23064100,10001700,195766400,273300,402400,733100,2019300,4442700,34201100,7687600,17189600,1343543500,19910500,19805000,66910699,4094800,46598700,743700,498000,4693200,11251200,1111300,10519700,82284200,896900,5562900,9986500,35726500,14562000,81817300,5337700,46250500,1340400,83914600,5377800,864600,65138500,1517900,62250200,4342600,24677600,10073500,1751100,1530000,709900,11368000,14548900,754900,7083800,7668899,4400000,10049500,9970900,241023500,1232945900,4499700,74411000,32124800,322500,7508100,60643900,2745900,6275100,126492900,16110000,41018300,5361600,14213500,48256200,2781200,6244600,4243900,4080300,6413200,174900,20947500,2181200,3317100,511600,2245200,548400,32091399,3553200,21015400,318300,114078000,2064200,15610400,417800,48086100,632000,2776300,23651000,3501000,1302400,15141800,28630300,2301700,253000,15805900,160464400,5819400,16645400,4909900,30243900,4392300,2812600,175235200,3542900,29205800,94067400,6929000,38288800,3744400,10688900,6508100,4083099,272500,1813700,21451100,142929300,10778300,27811000,44117400,12594900,5129700,544500,5940000,6204100,9426800,9848400,166100,527400,5469700,2033499,9419600,1193700,20596700,11385400,6090400,69321200,6914900,5070700,1136100,104200,1343000,10532700,73181000,45492100,33994399,45315500,3372300,311629100,27587200,109100,29198400,88300700,242700,183200,24437300,50369000,13276400,12590900,31846200,19375100,3207600,7735100,40575300,3090600,22455200,8410200,9239700,8508899,10741300,8979500,16714500,149557400,7471300,1299200,108100
2011-07-31,345683,3758250,9575866,315266,23071616,10013650,195903133,273350,402966,734283,2021350,4449650,34231783,7691533,17202200,1343911583,19939250,19839333,67068149,4103433,46649316,745150,498333,4698900,11250066,1112516,10524150,82281233,898216,5565050,9996416,35769583,14578166,81933350,5351650,46279416,1340300,84075366,5379933,865200,65172416,1520050,62285900,4341033,24725200,10088750,1754950,1532500,711550,11369500,14575550,755050,7088933,7680216,4399500,10058916,9968716,241215583,1234334550,4504650,74483833,32200266,322916,7523116,60659383,2746716,6289783,126485716,16124000,41102516,5366200,14226083,48268233,2788566,6251866,4246550,4094683,6422900,175050,20962083,2182900,3315950,512366,2244066,549133,32114799,3549900,21065633,318683,114187166,2064733,15650466,417933,48106616,632166,2779683,23694333,3507833,1302966,15181933,28668516,2304816,253333,15854883,160804633,5824633,16650800,4914383,30291383,4396350,2817700,175508900,3547216,29227266,94201800,6940833,38290766,3743633,10691050,6516950,4090449,272750,1822816,21445283,142924516,10804016,27871500,44211633,12621716,5136983,545583,5952000,6205950,9442766,9847133,166283,527800,5470983,2034082,9426200,1194983,20627650,11411800,6100800,69354400,6920883,5075483,1138116,104233,1343333,10541316,73252500,45600616,34089299,45293416,3372850,311836616,27610900,109116,29234800,88376150,243150,183233,24501350,50408333,13307633,12594216,31918566,19423950,3208200,7772283,40602516,3090366,22486400,8412900,9248316,8529882,10746183,9001083,16755416,149701633,7467516,1305400,108283
2011-08-31,346066,3758000,9573133,315733,23079133,10025600,196039866,273400,403533,735466,2023400,4456600,34262466,7695466,17214800,1344279666,19968000,19873666,67225599,4112066,46699933,746600,498666,4704600,11248933,1113733,10528600,82278266,899533,5567200,10006333,35812666,14594333,82049400,5365600,46308333,1340200,84236133,5382066,865800,65206333,1522200,62321600,4339466,24772800,10104000,1758800,1535000,713200,11371000,14602200,755200,7094066,7691533,4399000,10068333,9966533,241407666,1235723200,4509600,74556666,32275733,323333,7538133,60674866,2747533,6304466,126478533,16138000,41186733,5370800,14238666,48280266,2795933,6259133,4249200,4109066,6432600,175200,20976666,2184600,3314800,513133,2242933,549866,32138199,3546600,21115866,319066,114296333,2065266,15690533,418066,48127133,632333,2783066,23737666,3514666,1303533,15222066,28706733,2307933,253666,15903866,161144866,5829866,16656200,4918866,30338866,4400400,2822800,175782600,3551533,29248733,94336200,6952666,38292733,3742866,10693200,6525800,4097799,273000,1831933,21439466,142919733,10829733,27932000,44305866,12648533,5144266,546666,5964000,6207800,9458733,9845866,166466,528200,5472266,2034665,9432800,1196266,20658600,11438200,6111200,69387600,6926866,5080266,1140133,104266,1343666,10549933,73324000,45709133,34184199,45271333,3373400,312044133,27634600,109133,29271200,88451600,243600,183266,24565400,50447666,13338866,12597533,31990933,19472800,3208800,7809466,40629733,3090133,22517600,8415600,9256933,8550865,10751066,9022666,16796333,149845866,7463733,1311600,108466
2011-09-30,346450,3757750,9570400,316200,23086650,10037550,196176600,273450,404100,736650,2025450,4463550,34293150,7699400,17227400,1344647750,19996750,19908000,67383049,4120700,46750550,748050,499000,4710300,11247800,1114950,10533050,82275300,900850,5569350,10016250,35855750,14610500,82165450,5379550,46337250,1340100,84396900,5384200,866400,65240250,1524350,62357300,4337900,24820400,10119250,1762650,1537500,714850,11372500,14628850,755350,7099200,7702849,4398500,10077750,9964350,241599750,1237111850,4514550,74629500,32351200,323750,7553150,60690350,2748350,6319150,126471350,16152000,41270950,5375400,14251250,48292300,2803300,6266400,4251850,4123450,6442300,175350,20991250,2186300,3313650,513900,2241800,550600,32161599,3543300,21166100,319450,114405500,2065800,15730600,418200,48147650,632500,2786450,23781000,3521500,1304100,15262200,28744950,2311050,254000,15952850,161485100,5835100,16661600,4923350,30386350,4404450,2827900,176056300,3555850,29270200,94470600,6964500,38294700,3742100,10695350,6534650,4105149,273250,1841050,21433650,142914950,10855450,27992500,44400100,12675350,5151550,547750,5976000,6209650,9474700,9844600,166650,528600,5473550,2035249,9439400,1197550,20689550,11464600,6121600,69420800,6932850,5085050,1142150,104300,1344000,10558550,73395500,45817650,34279099,45249250,3373950,312251650,27658300,109150,29307600,88527050,244050,183300,24629450,50487000,13370100,12600850,32063300,19521650,3209400,7846650,40656950,3089900,22548800,8418300,9265550,8571849,10755950,9044250,16837250,149990100,7459950,1317800,108650
