,BHS,BIH,BLR,BLZ,TWN,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GTM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PNG,POL,PRI,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,STP,SUR,SVK,SVN,SWE,SWZ,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE,AFG,AGO,ALB,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,ABW
2010-12-31,9647000000,28065000000,118671000000,2061000000,742813000000,43190000000,1967541000000,4804000000,18153000000,3470000000,25012000000,3114000000,1201888000000,294115000000,232988000000,9121348000000,33442999999,40336000000,20876000000,15396000000,392550000000,723000000,1723000000,48697000000,64700000000,20867000000,248639000000,2727329000000,1884000000,180168000000,83260000000,268295000000,104160000000,449698000000,2573000000,1242302000000,22253000000,77328000000,170072000000,3575000000,1921794000000,20490000000,2014292000000,20242000000,36062000000,9766000000,3169000000,1612000000,21538000000,273897000000,61823000000,2342000000,294826000000,26744000000,71255000000,9918000000,169548000000,929865000000,3653102000000,160981000000,810315000000,102337000000,10424000000,198145000000,1641252000000,18919000000,31744000000,3899299000000,178180000000,60007000000,10941000000,27826000000,1320884000000,124857000000,14340000000,53347000000,1926000000,99765000000,1439000000,95022000000,3119000000,51059000000,34848000000,28991000000,31329000000,137293000000,9951000000,17999000000,2333000000,1409686000000,18931000000,14860000000,9442000000,69159000000,6414000000,9977000000,19244000000,7624000000,15734000000,11854000000,375288000000,13403000000,4250000000,10085000000,338225000000,14467000000,614809000000,228255000000,32337000000,110886000000,68334000000,418508000000,44448000000,248847000000,332055000000,15207000000,660478000000,64751999999,230606000000,30001000000,11054000000,4493000000,122760000000,234124000000,2015118000000,11057000000,563632000000,88125000000,21610000000,264851000000,1308000000,4352000000,37019000000,315000000,69977000000,290000000,3730000000,109477000000,51321000000,316691000000,5638000000,96934000000,15011000000,5414000000,530366999999,13333000000,37420000000,1481000000,423000000,31079000000,89757000000,912432000000,56273000000,38411000000,276283000000,42434000000,13087120000000,78648000000,1036999999,316397000000,249923000000,957000000,722000000,57076000000,474761000000,18112000000,5221000000,37237000000,98686000000,24545000000,318142000000,580427000000,15153000000,795588000000,296850000000,80696000000,4389000000,357666000000,12601000000,18709000000,221297000000,86738000000,26934000000,151000000
2011-01-31,9667800000,28111566666,119120666666,2065083333,745256766666,43393833333,1973464933333,4808666666,18198483333,3506850000,25108333333,3126583333,1204195116666,294548933333,234047000000,9201066633333,33587549999,40514366666,21028516666,15519166666,394287783333,725100000,1730350000,48897950000,64866133333,20865766666,249217150000,2731339016666,1892233333,180375866666,83618183333,269062266666,104561800000,451116383333,2583583333,1243239483333,22341883333,77848933333,170387050000,3581316666,1923675700000,20552716666,2016903516666,20363233333,36397866666,9831983333,3185550000,1619016666,21602816666,273587800000,61999933333,2354100000,295750550000,26829500000,71297066666,9971733333,169666850000,935553666666,3676336350000,161256550000,811176700000,103502033333,10448550000,198892700000,1641814050000,18940700000,31867816666,3902725933333,179222366666,60315433333,10997233333,28008633333,1325373950000,125444483333,14454616666,53497766666,1943150000,100252850000,1440666666,95659683333,3133416666,51235266666,34900966666,29099033333,31397266666,137890283333,9993766666,18040200000,2341016666,1414294583333,18980366666,14894766666,9458450000,69547083333,6424766666,10108750000,19387450000,7664483333,15790150000,11912150000,376981933333,13451316666,4266883333,10158866666,340428800000,14519066666,615481866666,228696583333,32463416666,111111533333,68590900000,419801166666,44792533333,250272766666,333518400000,15350283333,662206200000,64854233332,230566883333,30124166666,11102700000,4499766666,124043083333,234494550000,2022350316666,11138133333,566429050000,88328183333,21696000000,265752300000,1314850000,4400066666,37081300000,315566666,70071883333,293216666,3745516666,109780100000,51380550000,317423200000,5635833333,97158533333,15067916666,5438983333,532394983332,13411450000,37720733333,1495333333,423683333,31119683333,89971533333,916447483333,56624733333,38640183333,277204283333,42594783333,13113204250000,79170550000,1038833332,317534400000,251351116666,960216666,723300000,57074783333,476325783333,18237983333,5241166666,37427333333,99188716666,24588883333,319991866666,582798866666,15205816666,797821300000,297371383333,80882916666,4411716666,358086633333,12645266666,18823800000,222664133333,86897750000,27059833333,151850000
2011-02-28,9688600000,28158133333,119570333333,2069166666,747700533333,43597666666,1979388866666,4813333333,18243966666,3543700000,25204666666,3139166666,1206502233333,294982866666,235106000000,9280785266666,33732099999,40692733333,21181033333,15642333333,396025566666,727200000,1737700000,49098900000,65032266666,20864533333,249795300000,2735349033333,1900466666,180583733333,83976366666,269829533333,104963600000,452534766666,2594166666,1244176966666,22430766666,78369866666,170702100000,3587633333,1925557400000,20615433333,2019515033333,20484466666,36733733333,9897966666,3202100000,1626033333,21667633333,273278600000,62176866666,2366200000,296675100000,26915000000,71339133333,10025466666,169785700000,941242333333,3699570700000,161532100000,812038400000,104667066666,10473100000,199640400000,1642376100000,18962400000,31991633333,3906152866666,180264733333,60623866666,11053466666,28191266666,1329863900000,126031966666,14569233333,53648533333,1960300000,100740700000,1442333333,96297366666,3147833333,51411533333,34953933333,29207066666,31465533333,138487566666,10036533333,18081400000,2349033333,1418903166666,19029733333,14929533333,9474900000,69935166666,6435533333,10240500000,19530900000,7704966666,15846300000,11970300000,378675866666,13499633333,4283766666,10232733333,342632600000,14571133333,616154733333,229138166666,32589833333,111337066666,68847800000,421094333333,45137066666,251698533333,334981800000,15493566666,663934400000,64956466665,230527766666,30247333333,11151400000,4506533333,125326166666,234865100000,2029582633333,11219266666,569226100000,88531366666,21782000000,266653600000,1321700000,4448133333,37143600000,316133333,70166766666,296433333,3761033333,110083200000,51440100000,318155400000,5633666666,97383066666,15124833333,5463966666,534422966665,13489900000,38021466666,1509666666,424366666,31160366666,90186066666,920462966666,56976466666,38869366666,278125566666,42755566666,13139288500000,79693100000,1040666665,318671800000,252779233333,963433333,724600000,57073566666,477890566666,18363966666,5261333333,37617666666,99691433333,24632766666,321841733333,585170733333,15258633333,800054600000,297892766666,81069833333,4434433333,358507266666,12689533333,18938600000,224031266666,87057500000,27185666666,152700000
2011-03-31,9709400000,28204700000,120020000000,2073250000,750144300000,43801500000,1985312800000,4818000000,18289450000,3580550000,25301000000,3151750000,1208809350000,295416800000,236165000000,9360503900000,33876649999,40871100000,21333550000,15765500000,397763350000,729300000,1745050000,49299850000,65198400000,20863300000,250373450000,2739359050000,1908700000,180791600000,84334550000,270596800000,105365400000,453953150000,2604750000,1245114450000,22519650000,78890800000,171017150000,3593950000,1927439100000,20678150000,2022126550000,20605700000,37069600000,9963950000,3218650000,1633050000,21732450000,272969400000,62353800000,2378300000,297599650000,27000500000,71381200000,10079200000,169904550000,946931000000,3722805050000,161807650000,812900100000,105832100000,10497650000,200388100000,1642938150000,18984100000,32115450000,3909579800000,181307100000,60932300000,11109700000,28373900000,1334353850000,126619450000,14683850000,53799300000,1977450000,101228550000,1444000000,96935049999,3162250000,51587800000,35006900000,29315100000,31533800000,139084850000,10079300000,18122600000,2357050000,1423511750000,19079100000,14964300000,9491350000,70323250000,6446300000,10372250000,19674350000,7745450000,15902450000,12028450000,380369800000,13547950000,4300650000,10306600000,344836400000,14623200000,616827600000,229579750000,32716250000,111562600000,69104700000,422387500000,45481600000,253124300000,336445200000,15636850000,665662600000,65058699999,230488650000,30370500000,11200100000,4513300000,126609250000,235235650000,2036814950000,11300400000,572023150000,88734550000,21868000000,267554900000,1328550000,4496200000,37205900000,316700000,70261650000,299650000,3776550000,110386300000,51499650000,318887600000,5631500000,97607600000,15181750000,5488950000,536450949999,13568350000,38322200000,1524000000,425050000,31201050000,90400600000,924478450000,57328200000,39098550000,279046850000,42916350000,13165372750000,80215650000,1042499999,319809200000,254207350000,966650000,725900000,57072350000,479455350000,18489950000,5281500000,37808000000,100194149999,24676650000,323691600000,587542600000,15311450000,802287900000,298414150000,81256750000,4457150000,358927900000,12733800000,19053400000,225398400000,87217250000,27311500000,153550000
2011-04-30,9730200000,28251266666,120469666666,2077333333,752588066666,44005333333,1991236733333,4822666666,18334933333,3617400000,25397333333,3164333333,1211116466666,295850733333,237224000000,9440222533333,34021199999,41049466666,21486066666,15888666666,399501133333,731400000,1752400000,49500800000,65364533333,20862066666,250951600000,2743369066666,1916933333,180999466666,84692733333,271364066666,105767200000,455371533333,2615333333,1246051933333,22608533333,79411733333,171332200000,3600266666,1929320800000,20740866666,2024738066666,20726933333,37405466666,10029933333,3235200000,1640066666,21797266666,272660200000,62530733333,2390400000,298524200000,27086000000,71423266666,10132933333,170023400000,952619666666,3746039400000,162083200000,813761800000,106997133333,10522200000,201135800000,1643500200000,19005800000,32239266666,3913006733333,182349466666,61240733333,11165933333,28556533333,1338843800000,127206933333,14798466666,53950066666,1994600000,101716400000,1445666666,97572733333,3176666666,51764066666,35059866666,29423133333,31602066666,139682133333,10122066666,18163800000,2365066666,1428120333333,19128466666,14999066666,9507800000,70711333333,6457066666,10504000000,19817800000,7785933333,15958600000,12086600000,382063733333,13596266666,4317533333,10380466666,347040200000,14675266666,617500466666,230021333333,32842666666,111788133333,69361600000,423680666666,45826133333,254550066666,337908600000,15780133333,667390800000,65160933332,230449533333,30493666666,11248800000,4520066666,127892333333,235606200000,2044047266666,11381533333,574820200000,88937733333,21954000000,268456200000,1335400000,4544266666,37268200000,317266666,70356533333,302866666,3792066666,110689400000,51559200000,319619800000,5629333333,97832133333,15238666666,5513933333,538478933332,13646800000,38622933333,1538333333,425733333,31241733333,90615133333,928493933333,57679933333,39327733333,279968133333,43077133333,13191457000000,80738200000,1044333332,320946600000,255635466666,969866666,727200000,57071133333,481020133333,18615933333,5301666666,37998333333,100696866666,24720533333,325541466666,589914466666,15364266666,804521200000,298935533333,81443666666,4479866666,359348533333,12778066666,19168200000,226765533333,87377000000,27437333333,154400000
2011-05-31,9751000000,28297833333,120919333333,2081416666,755031833333,44209166666,1997160666666,4827333333,18380416666,3654250000,25493666666,3176916666,1213423583333,296284666666,238283000000,9519941166666,34165749999,41227833333,21638583333,16011833333,401238916666,733500000,1759750000,49701750000,65530666666,20860833333,251529750000,2747379083333,1925166666,181207333333,85050916666,272131333333,106169000000,456789916666,2625916666,1246989416666,22697416666,79932666666,171647250000,3606583333,1931202500000,20803583333,2027349583333,20848166666,37741333333,10095916666,3251750000,1647083333,21862083333,272351000000,62707666666,2402500000,299448750000,27171500000,71465333333,10186666666,170142250000,958308333333,3769273750000,162358750000,814623500000,108162166666,10546750000,201883500000,1644062250000,19027500000,32363083333,3916433666666,183391833333,61549166666,11222166666,28739166666,1343333750000,127794416666,14913083333,54100833333,2011750000,102204250000,1447333333,98210416666,3191083333,51940333333,35112833333,29531166666,31670333333,140279416666,10164833333,18205000000,2373083333,1432728916666,19177833333,15033833333,9524250000,71099416666,6467833333,10635750000,19961250000,7826416666,16014750000,12144750000,383757666666,13644583333,4334416666,10454333333,349244000000,14727333333,618173333333,230462916666,32969083333,112013666666,69618500000,424973833333,46170666666,255975833333,339372000000,15923416666,669119000000,65263166665,230410416666,30616833333,11297500000,4526833333,129175416666,235976750000,2051279583333,11462666666,577617250000,89140916666,22040000000,269357500000,1342250000,4592333333,37330500000,317833333,70451416666,306083333,3807583333,110992500000,51618750000,320352000000,5627166666,98056666666,15295583333,5538916666,540506916665,13725250000,38923666666,1552666666,426416666,31282416666,90829666666,932509416666,58031666666,39556916666,280889416666,43237916666,13217541250000,81260750000,1046166665,322084000000,257063583333,973083333,728500000,57069916666,482584916666,18741916666,5321833333,38188666666,101199583333,24764416666,327391333333,592286333333,15417083333,806754500000,299456916666,81630583333,4502583333,359769166666,12822333333,19283000000,228132666666,87536750000,27563166666,155250000
2011-06-30,9771800000,28344400000,121369000000,2085500000,757475600000,44413000000,2003084600000,4832000000,18425900000,3691100000,25590000000,3189500000,1215730700000,296718600000,239342000000,9599659800000,34310299999,41406200000,21791100000,16135000000,402976700000,735600000,1767100000,49902700000,65696800000,20859600000,252107900000,2751389100000,1933400000,181415200000,85409100000,272898600000,106570800000,458208300000,2636500000,1247926900000,22786300000,80453600000,171962300000,3612900000,1933084200000,20866300000,2029961100000,20969400000,38077200000,10161900000,3268300000,1654100000,21926900000,272041800000,62884600000,2414600000,300373300000,27257000000,71507400000,10240400000,170261100000,963997000000,3792508100000,162634300000,815485200000,109327200000,10571300000,202631200000,1644624300000,19049200000,32486900000,3919860600000,184434200000,61857600000,11278400000,28921800000,1347823700000,128381900000,15027700000,54251600000,2028900000,102692100000,1449000000,98848099999,3205500000,52116600000,35165800000,29639200000,31738600000,140876700000,10207600000,18246200000,2381100000,1437337500000,19227200000,15068600000,9540700000,71487500000,6478600000,10767500000,20104700000,7866900000,16070900000,12202900000,385451600000,13692900000,4351300000,10528200000,351447800000,14779400000,618846200000,230904500000,33095500000,112239200000,69875400000,426267000000,46515200000,257401600000,340835400000,16066700000,670847200000,65365399999,230371300000,30740000000,11346200000,4533600000,130458500000,236347300000,2058511900000,11543800000,580414300000,89344100000,22126000000,270258800000,1349100000,4640400000,37392800000,318400000,70546300000,309300000,3823100000,111295600000,51678300000,321084200000,5625000000,98281200000,15352500000,5563900000,542534899999,13803700000,39224400000,1567000000,427100000,31323100000,91044200000,936524900000,58383400000,39786100000,281810700000,43398700000,13243625500000,81783300000,1047999999,323221400000,258491700000,976300000,729800000,57068700000,484149700000,18867900000,5342000000,38379000000,101702299999,24808300000,329241200000,594658200000,15469900000,808987800000,299978300000,81817500000,4525300000,360189800000,12866600000,19397800000,229499800000,87696500000,27689000000,156100000
2011-07-31,9792600000,28390966666,121818666666,2089583333,759919366666,44616833333,2009008533333,4836666666,18471383333,3727950000,25686333333,3202083333,1218037816666,297152533333,240401000000,9679378433333,34454849999,41584566666,21943616666,16258166666,404714483333,737700000,1774450000,50103650000,65862933333,20858366666,252686050000,2755399116666,1941633333,181623066666,85767283333,273665866666,106972600000,459626683333,2647083333,1248864383333,22875183333,80974533333,172277350000,3619216666,1934965900000,20929016666,2032572616666,21090633333,38413066666,10227883333,3284850000,1661116666,21991716666,271732600000,63061533333,2426700000,301297850000,27342500000,71549466666,10294133333,170379950000,969685666666,3815742450000,162909850000,816346900000,110492233333,10595850000,203378900000,1645186350000,19070900000,32610716666,3923287533333,185476566666,62166033333,11334633333,29104433333,1352313650000,128969383333,15142316666,54402366666,2046050000,103179950000,1450666666,99485783333,3219916666,52292866666,35218766666,29747233333,31806866666,141473983333,10250366666,18287400000,2389116666,1441946083333,19276566666,15103366666,9557150000,71875583333,6489366666,10899250000,20248150000,7907383333,16127050000,12261050000,387145533333,13741216666,4368183333,10602066666,353651600000,14831466666,619519066666,231346083333,33221916666,112464733333,70132300000,427560166666,46859733333,258827366666,342298800000,16209983333,672575400000,65467633332,230332183333,30863166666,11394900000,4540366666,131741583333,236717850000,2065744216666,11624933333,583211350000,89547283333,22212000000,271160100000,1355950000,4688466666,37455100000,318966666,70641183333,312516666,3838616666,111598700000,51737850000,321816400000,5622833333,98505733333,15409416666,5588883333,544562883332,13882150000,39525133333,1581333333,427783333,31363783333,91258733333,940540383333,58735133333,40015283333,282731983333,43559483333,13269709750000,82305850000,1049833332,324358800000,259919816666,979516666,731100000,57067483333,485714483333,18993883333,5362166666,38569333333,102205016666,24852183333,331091066666,597030066666,15522716666,811221100000,300499683333,82004416666,4548016666,360610433333,12910866666,19512600000,230866933333,87856250000,27814833333,156950000
2011-08-31,9813400000,28437533333,122268333333,2093666666,762363133333,44820666666,2014932466666,4841333333,18516866666,3764800000,25782666666,3214666666,1220344933333,297586466666,241460000000,9759097066666,34599399999,41762933333,22096133333,16381333333,406452266666,739800000,1781800000,50304600000,66029066666,20857133333,253264200000,2759409133333,1949866666,181830933333,86125466666,274433133333,107374400000,461045066666,2657666666,1249801866666,22964066666,81495466666,172592400000,3625533333,1936847600000,20991733333,2035184133333,21211866666,38748933333,10293866666,3301400000,1668133333,22056533333,271423400000,63238466666,2438800000,302222400000,27428000000,71591533333,10347866666,170498800000,975374333333,3838976800000,163185400000,817208600000,111657266666,10620400000,204126600000,1645748400000,19092600000,32734533333,3926714466666,186518933333,62474466666,11390866666,29287066666,1356803600000,129556866666,15256933333,54553133333,2063200000,103667800000,1452333333,100123466666,3234333333,52469133333,35271733333,29855266666,31875133333,142071266666,10293133333,18328600000,2397133333,1446554666666,19325933333,15138133333,9573600000,72263666666,6500133333,11031000000,20391600000,7947866666,16183200000,12319200000,388839466666,13789533333,4385066666,10675933333,355855400000,14883533333,620191933333,231787666666,33348333333,112690266666,70389200000,428853333333,47204266666,260253133333,343762200000,16353266666,674303600000,65569866665,230293066666,30986333333,11443600000,4547133333,133024666666,237088400000,2072976533333,11706066666,586008400000,89750466666,22298000000,272061400000,1362800000,4736533333,37517400000,319533333,70736066666,315733333,3854133333,111901800000,51797400000,322548600000,5620666666,98730266666,15466333333,5613866666,546590866665,13960600000,39825866666,1595666666,428466666,31404466666,91473266666,944555866666,59086866666,40244466666,283653266666,43720266666,13295794000000,82828400000,1051666665,325496200000,261347933333,982733333,732400000,57066266666,487279266666,19119866666,5382333333,38759666666,102707733333,24896066666,332940933333,599401933333,15575533333,813454400000,301021066666,82191333333,4570733333,361031066666,12955133333,19627400000,232234066666,88016000000,27940666666,157800000
2011-09-30,9834200000,28484100000,122718000000,2097750000,764806900000,45024500000,2020856400000,4846000000,18562350000,3801650000,25879000000,3227250000,1222652050000,298020400000,242519000000,9838815700000,34743949999,41941300000,22248650000,16504500000,408190050000,741900000,1789150000,50505550000,66195200000,20855900000,253842350000,2763419150000,1958100000,182038800000,86483650000,275200400000,107776200000,462463450000,2668250000,1250739350000,23052950000,82016400000,172907450000,3631850000,1938729300000,21054450000,2037795650000,21333100000,39084800000,10359850000,3317950000,1675150000,22121350000,271114200000,63415400000,2450900000,303146950000,27513500000,71633600000,10401600000,170617650000,981063000000,3862211150000,163460950000,818070300000,112822300000,10644950000,204874300000,1646310450000,19114300000,32858350000,3930141400000,187561300000,62782900000,11447100000,29469700000,1361293550000,130144350000,15371550000,54703900000,2080350000,104155650000,1454000000,100761149999,3248750000,52645400000,35324700000,29963300000,31943400000,142668550000,10335900000,18369800000,2405150000,1451163250000,19375300000,15172900000,9590050000,72651750000,6510900000,11162750000,20535050000,7988350000,16239350000,12377350000,390533400000,13837850000,4401950000,10749800000,358059200000,14935600000,620864800000,232229250000,33474750000,112915800000,70646100000,430146500000,47548800000,261678900000,345225600000,16496550000,676031800000,65672099999,230253950000,31109500000,11492300000,4553900000,134307750000,237458950000,2080208850000,11787200000,588805450000,89953650000,22384000000,272962700000,1369650000,4784600000,37579700000,320100000,70830950000,318950000,3869650000,112204900000,51856950000,323280800000,5618500000,98954800000,15523250000,5638850000,548618849999,14039050000,40126600000,1610000000,429150000,31445150000,91687800000,948571350000,59438600000,40473650000,284574550000,43881050000,13321878250000,83350950000,1053499999,326633600000,262776050000,985950000,733700000,57065050000,488844050000,19245850000,5402500000,38950000000,103210449999,24939950000,334790800000,601773800000,15628350000,815687700000,301542450000,82378250000,4593450000,361451700000,12999400000,19742200000,233601200000,88175750000,28066500000,158650000
